"File","Role","Client","Method","RawPath","PathClass","IsDynamic"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","GET","/vineyards","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M090\M090Page.jsx","OTHER","fetch","GET","/api/m090?${params}","DYNAMIC_OR_TEMPLATE","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","POST","/library/recommendations","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","GET","/flood-resilience-farming","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M242\M242.jsx","PAGE","fetch","GET","/api/v1/backend-modules/M242/","API_PATH","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","GET","/comprehensive-erp/get-cost-center-report","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","GET","/poultry-management/batches","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","PUT","/fertility-management/record/${id}","DYNAMIC_OR_TEMPLATE","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","PUT","/multilingual/preferences","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","DELETE","/disease-forecasting/forecasts/forecast/${id}","DYNAMIC_OR_TEMPLATE","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","GET","/reporting","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","GET","/farm-operations-dashboard/kpis","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M246\M246Page.jsx","OTHER","fetch","GET","/api/m246?${params}","DYNAMIC_OR_TEMPLATE","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M307\M307Page.jsx","OTHER","fetch","GET","/api/m307/search?q=${encodeURIComponent(searchQuery)}","DYNAMIC_OR_TEMPLATE","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","GET","/adaptive-strategies","ROOT_RELATIVE","False"
