"FrontendFile","Client","Method","RawPath","DynamicClass","CandidatePath"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","POST","/ai-agent/agent/${data.agent_name}/execute-task","TEMPLATE_INTERPOLATION","/ai-agent/agent/:param/execute-task"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","GET","/versions/${id}","TEMPLATE_ID_PARAMETER","/versions/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M095\M095Page.jsx","fetch","GET","/api/m095?${params}","TEMPLATE_INTERPOLATION","/api/m095"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","GET","/company/${companyId}/chart-of-accounts","TEMPLATE_ID_PARAMETER","/company/:param/chart-of-accounts"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M081\M081Page.jsx","fetch","DELETE","/api/m081/${id}","TEMPLATE_ID_PARAMETER","/api/m081/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M112\M112Page.jsx","fetch","GET","/api/m112?${params}","TEMPLATE_INTERPOLATION","/api/m112"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M106\M106Page.jsx","fetch","DELETE","/api/m106/${id}","TEMPLATE_ID_PARAMETER","/api/m106/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M170\M170.jsx","fetch","DELETE","/api/v1/backend-modules/M170/${id}","TEMPLATE_ID_PARAMETER","/api/v1/backend-modules/M170/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M338\M338.jsx","fetch","DELETE","/api/v1/backend-modules/M338/${id}","TEMPLATE_ID_PARAMETER","/api/v1/backend-modules/M338/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M238\M238.jsx","fetch","DELETE","/api/v1/backend-modules/M238/${id}","TEMPLATE_ID_PARAMETER","/api/v1/backend-modules/M238/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M194\M194.jsx","fetch","DELETE","/api/v1/backend-modules/M194/${id}","TEMPLATE_ID_PARAMETER","/api/v1/backend-modules/M194/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","PUT","/sap-module-architecture/module/${id}","TEMPLATE_ID_PARAMETER","/sap-module-architecture/module/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M128\M128Page.jsx","fetch","GET","/api/m128?${params}","TEMPLATE_INTERPOLATION","/api/m128"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M215\M215Page.jsx","fetch","GET","/api/m215/search?q=${encodeURIComponent(searchQuery)}","TEMPLATE_INTERPOLATION","/api/m215/search"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M116\M116Page.jsx","fetch","GET","/api/m116?${params}","TEMPLATE_INTERPOLATION","/api/m116"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M201\M201Page.jsx","fetch","GET","/api/m201/search?q=${encodeURIComponent(searchQuery)}","TEMPLATE_INTERPOLATION","/api/m201/search"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M123\M123Page.jsx","fetch","GET","/api/m123/search?q=${encodeURIComponent(searchQuery)}","TEMPLATE_INTERPOLATION","/api/m123/search"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M333\M333Page.jsx","fetch","GET","/api/m333?${params}","TEMPLATE_INTERPOLATION","/api/m333"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M187\M187Page.jsx","fetch","GET","/api/m187?${params}","TEMPLATE_INTERPOLATION","/api/m187"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","POST","/feature-toggle/${id}/toggle","TEMPLATE_ID_PARAMETER","/feature-toggle/:param/toggle"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","PUT","/soil-health/card/${id}","TEMPLATE_ID_PARAMETER","/soil-health/card/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M192\M192.jsx","fetch","DELETE","/api/v1/backend-modules/M192/${id}","TEMPLATE_ID_PARAMETER","/api/v1/backend-modules/M192/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M236\M236Page.jsx","fetch","DELETE","/api/m236/${id}","TEMPLATE_ID_PARAMETER","/api/m236/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","GET","/products/${id}","TEMPLATE_ID_PARAMETER","/products/:param"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M166\M166Page.jsx","fetch","GET","/api/m166/search?q=${encodeURIComponent(searchQuery)}","TEMPLATE_INTERPOLATION","/api/m166/search"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M214\M214Page.jsx","fetch","GET","/api/m214?${params}","TEMPLATE_INTERPOLATION","/api/m214"
