"RouterFile","MountCount","Prefixes","SemanticRole","PathClass"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M083\routes.js","1","/api/v1/backend-modules/M083","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M084\routes.js","1","/api/v1/backend-modules/M084","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M085\routes.js","1","/api/v1/backend-modules/M085","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M086\routes.js","1","/api/v1/backend-modules/M086","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M087\routes.js","1","/api/v1/backend-modules/M087","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M088\routes.js","1","/api/v1/backend-modules/M088","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M089\routes.js","1","/api/v1/backend-modules/M089","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M090\routes.js","1","/api/v1/backend-modules/M090","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M091\routes.js","1","/api/v1/backend-modules/M091","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M092\routes.js","1","/api/v1/backend-modules/M092","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M093\routes.js","1","/api/v1/backend-modules/M093","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M094\routes.js","1","/api/v1/backend-modules/M094","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M095\routes.js","1","/api/v1/backend-modules/M095","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M096\routes.js","1","/api/v1/backend-modules/M096","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M097\routes.js","1","/api/v1/backend-modules/M097","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M098\routes.js","1","/api/v1/backend-modules/M098","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M099\routes.js","1","/api/v1/backend-modules/M099","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M100\routes.js","1","/api/v1/backend-modules/M100","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M101\routes.js","1","/api/v1/backend-modules/M101","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M102\routes.js","1","/api/v1/backend-modules/M102","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M103\routes.js","1","/api/v1/backend-modules/M103","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M104\routes.js","1","/api/v1/backend-modules/M104","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M105\routes.js","1","/api/v1/backend-modules/M105","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M106\routes.js","1","/api/v1/backend-modules/M106","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M107\routes.js","1","/api/v1/backend-modules/M107","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M108\routes.js","1","/api/v1/backend-modules/M108","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M109\routes.js","1","/api/v1/backend-modules/M109","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M110\routes.js","1","/api/v1/backend-modules/M110","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M111\routes.js","1","/api/v1/backend-modules/M111","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M112\routes.js","1","/api/v1/backend-modules/M112","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M113\routes.js","1","/api/v1/backend-modules/M113","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M114\routes.js","1","/api/v1/backend-modules/M114","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M115\routes.js","1","/api/v1/backend-modules/M115","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M116\routes.js","1","/api/v1/backend-modules/M116","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M117\routes.js","1","/api/v1/backend-modules/M117","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M118\routes.js","1","/api/v1/backend-modules/M118","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M119\routes.js","1","/api/v1/backend-modules/M119","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M120\routes.js","1","/api/v1/backend-modules/M120","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M121\routes.js","1","/api/v1/backend-modules/M121","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M122\routes.js","1","/api/v1/backend-modules/M122","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M123\routes.js","1","/api/v1/backend-modules/M123","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M124\routes.js","1","/api/v1/backend-modules/M124","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M125\routes.js","1","/api/v1/backend-modules/M125","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M126\routes.js","1","/api/v1/backend-modules/M126","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M127\routes.js","1","/api/v1/backend-modules/M127","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M128\routes.js","1","/api/v1/backend-modules/M128","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M129\routes.js","1","/api/v1/backend-modules/M129","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M130\routes.js","1","/api/v1/backend-modules/M130","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M131\routes.js","1","/api/v1/backend-modules/M131","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M132\routes.js","1","/api/v1/backend-modules/M132","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M133\routes.js","1","/api/v1/backend-modules/M133","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M134\routes.js","1","/api/v1/backend-modules/M134","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M135\routes.js","1","/api/v1/backend-modules/M135","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M136\routes.js","1","/api/v1/backend-modules/M136","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M137\routes.js","1","/api/v1/backend-modules/M137","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M138\routes.js","1","/api/v1/backend-modules/M138","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M139\routes.js","1","/api/v1/backend-modules/M139","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M140\routes.js","1","/api/v1/backend-modules/M140","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M141\routes.js","1","/api/v1/backend-modules/M141","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M142\routes.js","1","/api/v1/backend-modules/M142","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M143\routes.js","1","/api/v1/backend-modules/M143","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M144\routes.js","1","/api/v1/backend-modules/M144","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M145\routes.js","1","/api/v1/backend-modules/M145","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M146\routes.js","1","/api/v1/backend-modules/M146","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M147\routes.js","1","/api/v1/backend-modules/M147","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M148\routes.js","1","/api/v1/backend-modules/M148","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M149\routes.js","1","/api/v1/backend-modules/M149","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M150\routes.js","1","/api/v1/backend-modules/M150","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M151\routes.js","1","/api/v1/backend-modules/M151","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M152\routes.js","1","/api/v1/backend-modules/M152","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M153\routes.js","1","/api/v1/backend-modules/M153","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M154\routes.js","1","/api/v1/backend-modules/M154","ROUTE","PRODUCTION_OR_REVIEW"
