"SourceLine","Method","Path","SourceText","Extraction"
"410","GET","/orders","getOrders: () => api.get('/orders'),","DIRECT_SAME_LINE"
"411","POST","/orders","createOrder: (data) => api.post('/orders', data),","DIRECT_SAME_LINE"
"415","GET","/notifications","getNotifications: (params) => api.get('/notifications', { params }),","DIRECT_SAME_LINE"
"416","PUT","/notifications/${id}/read","markAsRead: (id) => api.put(`/notifications/${id}/read`),","DIRECT_SAME_LINE"
"417","PUT","/notifications/read-all","markAllAsRead: () => api.put('/notifications/read-all'),","DIRECT_SAME_LINE"
"421","GET","/analytics/stats","getStats: () => api.get('/analytics/stats'),","DIRECT_SAME_LINE"
"422","GET","/analytics/reports","getReports: () => api.get('/analytics/reports'),","DIRECT_SAME_LINE"
"426","POST","/reports/generate","generateReport: (type, params) => api.post('/reports/generate', { type, params }),","DIRECT_SAME_LINE"
"427","GET","/reports","getReports: () => api.get('/reports'),","DIRECT_SAME_LINE"
"431","POST","/documents/upload","uploadDocument: (file) => api.post('/documents/upload', file),","DIRECT_SAME_LINE"
"432","GET","/documents","getDocuments: () => api.get('/documents'),","DIRECT_SAME_LINE"
"436","GET","/messages","getMessages: () => api.get('/messages'),","DIRECT_SAME_LINE"
"437","POST","/messages","sendMessage: (data) => api.post('/messages', data),","DIRECT_SAME_LINE"
"441","GET","/dashboard","getDashboardData: () => api.get('/dashboard'),","DIRECT_SAME_LINE"
"442","GET","/dashboard/widgets/${widget}","getWidgetData: (widget) => api.get(`/dashboard/widgets/${widget}`),","DIRECT_SAME_LINE"
"447","GET","/admin","getAdminData: () => api.get('/admin'),","DIRECT_SAME_LINE"
