"Prefix","Variable","ImportPath","ResolvedFile","Exists","IndexLine"
"/api/v1/backend-modules/M075","legacyModuleM075Routes","./modules/M075/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M075\routes.js","True","1202"
"/api/v1/backend-modules/M076","legacyModuleM076Routes","./modules/M076/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M076\routes.js","True","1203"
"/api/v1/backend-modules/M077","legacyModuleM077Routes","./modules/M077/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M077\routes.js","True","1204"
"/api/v1/backend-modules/M078","legacyModuleM078Routes","./modules/M078/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M078\routes.js","True","1205"
"/api/v1/backend-modules/M079","legacyModuleM079Routes","./modules/M079/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M079\routes.js","True","1206"
"/api/v1/backend-modules/M080","legacyModuleM080Routes","./modules/M080/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M080\routes.js","True","1207"
"/api/v1/backend-modules/M081","legacyModuleM081Routes","./modules/M081/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M081\routes.js","True","1208"
"/api/v1/backend-modules/M082","legacyModuleM082Routes","./modules/M082/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M082\routes.js","True","1209"
"/api/v1/backend-modules/M083","legacyModuleM083Routes","./modules/M083/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M083\routes.js","True","1210"
"/api/v1/backend-modules/M084","legacyModuleM084Routes","./modules/M084/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M084\routes.js","True","1211"
"/api/v1/backend-modules/M085","legacyModuleM085Routes","./modules/M085/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M085\routes.js","True","1212"
"/api/v1/backend-modules/M086","legacyModuleM086Routes","./modules/M086/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M086\routes.js","True","1213"
"/api/v1/backend-modules/M087","legacyModuleM087Routes","./modules/M087/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M087\routes.js","True","1214"
"/api/v1/backend-modules/M088","legacyModuleM088Routes","./modules/M088/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M088\routes.js","True","1215"
"/api/v1/backend-modules/M089","legacyModuleM089Routes","./modules/M089/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M089\routes.js","True","1216"
"/api/v1/backend-modules/M090","legacyModuleM090Routes","./modules/M090/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M090\routes.js","True","1217"
"/api/v1/backend-modules/M091","legacyModuleM091Routes","./modules/M091/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M091\routes.js","True","1218"
"/api/v1/backend-modules/M092","legacyModuleM092Routes","./modules/M092/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M092\routes.js","True","1219"
"/api/v1/backend-modules/M093","legacyModuleM093Routes","./modules/M093/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M093\routes.js","True","1220"
"/api/v1/backend-modules/M094","legacyModuleM094Routes","./modules/M094/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M094\routes.js","True","1221"
"/api/v1/backend-modules/M095","legacyModuleM095Routes","./modules/M095/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M095\routes.js","True","1222"
"/api/v1/backend-modules/M096","legacyModuleM096Routes","./modules/M096/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M096\routes.js","True","1223"
"/api/v1/backend-modules/M097","legacyModuleM097Routes","./modules/M097/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M097\routes.js","True","1224"
"/api/v1/backend-modules/M098","legacyModuleM098Routes","./modules/M098/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M098\routes.js","True","1225"
"/api/v1/backend-modules/M099","legacyModuleM099Routes","./modules/M099/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M099\routes.js","True","1226"
"/api/v1/backend-modules/M100","legacyModuleM100Routes","./modules/M100/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M100\routes.js","True","1227"
"/api/v1/backend-modules/M103","legacyModuleM103Routes","./modules/M103/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M103\routes.js","True","1228"
"/api/v1/backend-modules/M104","legacyModuleM104Routes","./modules/M104/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M104\routes.js","True","1229"
"/api/v1/backend-modules/M105","legacyModuleM105Routes","./modules/M105/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M105\routes.js","True","1230"
"/api/v1/backend-modules/M106","legacyModuleM106Routes","./modules/M106/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M106\routes.js","True","1231"
"/api/v1/backend-modules/M107","legacyModuleM107Routes","./modules/M107/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M107\routes.js","True","1232"
"/api/v1/backend-modules/M108","legacyModuleM108Routes","./modules/M108/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M108\routes.js","True","1233"
"/api/v1/backend-modules/M109","legacyModuleM109Routes","./modules/M109/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M109\routes.js","True","1234"
"/api/v1/backend-modules/M110","legacyModuleM110Routes","./modules/M110/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M110\routes.js","True","1235"
"/api/v1/backend-modules/M111","legacyModuleM111Routes","./modules/M111/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M111\routes.js","True","1236"
"/api/v1/backend-modules/M112","legacyModuleM112Routes","./modules/M112/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M112\routes.js","True","1237"
"/api/v1/backend-modules/M113","legacyModuleM113Routes","./modules/M113/routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M113\routes.js","True","1238"
