"Method","Prefix","LocalPath","EffectiveURL","RouterFile","Variable","MountLine","RouteLine"
"POST","/api/v1/backend-modules/M007","/remove-role","/api/v1/backend-modules/M007/remove-role","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M007\routes.js","finalBatchModuleM007Routes","1126","19"
"GET","/api/v1/backend-modules/M007","/users/:userId/roles","/api/v1/backend-modules/M007/users/:userId/roles","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M007\routes.js","finalBatchModuleM007Routes","1126","20"
"GET","/api/v1/backend-modules/M007","/users/:userId/permissions","/api/v1/backend-modules/M007/users/:userId/permissions","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M007\routes.js","finalBatchModuleM007Routes","1126","21"
"GET","/api/v1/backend-modules/M007","/users/:userId/recommend-role","/api/v1/backend-modules/M007/users/:userId/recommend-role","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M007\routes.js","finalBatchModuleM007Routes","1126","24"
"GET","/api/v1/backend-modules/M007","/permission-matrix","/api/v1/backend-modules/M007/permission-matrix","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M007\routes.js","finalBatchModuleM007Routes","1126","25"
"GET","/api/v1/backend-modules/M007","/role-hierarchy","/api/v1/backend-modules/M007/role-hierarchy","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M007\routes.js","finalBatchModuleM007Routes","1126","26"
"POST","/api/v1/backend-modules/M008","/logs","/api/v1/backend-modules/M008/logs","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M008\routes.js","finalBatchModuleM008Routes","1127","7"
"GET","/api/v1/backend-modules/M008","/logs","/api/v1/backend-modules/M008/logs","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M008\routes.js","finalBatchModuleM008Routes","1127","8"
"GET","/api/v1/backend-modules/M008","/logs/:id","/api/v1/backend-modules/M008/logs/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M008\routes.js","finalBatchModuleM008Routes","1127","9"
"GET","/api/v1/backend-modules/M008","/logs/:id/verify","/api/v1/backend-modules/M008/logs/:id/verify","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M008\routes.js","finalBatchModuleM008Routes","1127","12"
