"Family","File","Name","Mounted","EndpointCount","SignatureHash","Signature"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\auditLogRoutes.js","auditLogRoutes.js","False","2","06124cece1439ae759900587edb4b9cecf779e2196e4f5f4a57897716eb7408e","GET / | GET /health"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\auditRoutes.js","auditRoutes.js","True","8","426d7f37220db5130828c8fd519afdf3624827df46e32c8b990ad131622136c6","GET /compliance/:complianceType | GET /entities/:entityType/:entityId | GET /export | GET /recent | GET /report | GET /security | GET /users/:userId | POST /events"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\auditTrail.js","auditTrail.js","True","1","74fac65f350e55c6eab7fce463c1dac2c69e32dbf56cdc0635ef7a8cd2da51b8","GET /health"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\authorizationDomainRoutes.js","authorizationDomainRoutes.js","True","6","5255ea691e03faeccfed20d97917f9e5f794ad33723673079637d2097ba8bcb5","DELETE /role-management/role/:id | GET /authorization/roles | GET /authorization/users | GET /role-management/roles | POST /role-management/role | PUT /role-management/role/:id"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\authRoutes.js","authRoutes.js","True","0","",""
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\automation.js","automation.js","True","1","74fac65f350e55c6eab7fce463c1dac2c69e32dbf56cdc0635ef7a8cd2da51b8","GET /health"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\backupRoutes.js","backupRoutes.js","False","2","06124cece1439ae759900587edb4b9cecf779e2196e4f5f4a57897716eb7408e","GET / | GET /health"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\biometric.js","biometric.js","True","1","74fac65f350e55c6eab7fce463c1dac2c69e32dbf56cdc0635ef7a8cd2da51b8","GET /health"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\blockchainTrace.js","blockchainTrace.js","True","1","74fac65f350e55c6eab7fce463c1dac2c69e32dbf56cdc0635ef7a8cd2da51b8","GET /health"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\blockchainVerificationDomainRoutes.js","blockchainVerificationDomainRoutes.js","True","2","591875a5678f8371247654cc29653217d35ac99c2c73fdd5671c32f9f9922268","GET /blockchain-verification/product/:productId/verify | GET /blockchain-verification/stats"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\blockchainVerificationRoutes.js","blockchainVerificationRoutes.js","True","2","071dc48377e89326f050eaee5f26506188f379cd5f375f03eb991f0bd41482d1","GET /health | POST /"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\bulkOperationRoutes.js","bulkOperationRoutes.js","False","2","06124cece1439ae759900587edb4b9cecf779e2196e4f5f4a57897716eb7408e","GET / | GET /health"
