"File","Family","Lines","SizeBytes","ImportCount","ControllerImportCount","ServiceImportCount","MiddlewareImportCount","ControllerImports","ServiceImports","MiddlewareImports","AllImports"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M137Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M138Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M139Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M140Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M141Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M142Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M143Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M144Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M145Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M146Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M147Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M148Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M149Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M150Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M151Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M152Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M153Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M154Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M155Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M156Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M157Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M158Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M159Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M160Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M161Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M162Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M163Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M164Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M165Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M166Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M167Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M168Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M169Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M170Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M171Routes.js","TOP_LEVEL_ROUTE","39","956","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
