"QualifiedTable","DefinitionCount","SourceFile","SourceRelativePath"
"public.indigenous_farming_practices","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\indigenous_knowledge_schema.sql","backend\src\database\indigenous_knowledge_schema.sql"
"public.indigenous_farming_practices","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\029_indigenous_knowledge_schema.sql","backend\src\database\migrations\029_indigenous_knowledge_schema.sql"
"public.oral_history","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\indigenous_knowledge_schema.sql","backend\src\database\indigenous_knowledge_schema.sql"
"public.oral_history","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\029_indigenous_knowledge_schema.sql","backend\src\database\migrations\029_indigenous_knowledge_schema.sql"
"public.tribal_knowledge","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\indigenous_knowledge_schema.sql","backend\src\database\indigenous_knowledge_schema.sql"
"public.tribal_knowledge","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\029_indigenous_knowledge_schema.sql","backend\src\database\migrations\029_indigenous_knowledge_schema.sql"
"public.indigenous_documentation","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\indigenous_knowledge_schema.sql","backend\src\database\indigenous_knowledge_schema.sql"
"public.indigenous_documentation","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\029_indigenous_knowledge_schema.sql","backend\src\database\migrations\029_indigenous_knowledge_schema.sql"
"public.indigenous_protection","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\indigenous_knowledge_schema.sql","backend\src\database\indigenous_knowledge_schema.sql"
"public.indigenous_protection","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\029_indigenous_knowledge_schema.sql","backend\src\database\migrations\029_indigenous_knowledge_schema.sql"
"public.indigenous_ip_management","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\indigenous_knowledge_schema.sql","backend\src\database\indigenous_knowledge_schema.sql"
"public.indigenous_ip_management","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\029_indigenous_knowledge_schema.sql","backend\src\database\migrations\029_indigenous_knowledge_schema.sql"
"public.procurement_tenders","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\institutional_procurement_schema.sql","backend\src\database\institutional_procurement_schema.sql"
